,Descripción,Unidad,Precio,$,Tipo
1,EXTINTOR C.I.POLVO QUIMICO SECO ABC 1 KG,PZA,20.0,$,EXTINTOR CONTRA INCENDIO
2,EXTINTOR C.I.POLVO QUIMICO SECO ABC 2 KG,PZA,30.0,$,EXTINTOR CONTRA INCENDIO
3,EXTINTOR C.I.POLVO QUIMICO SECO ABC 4 KG,PZA,35.0,$,EXTINTOR CONTRA INCENDIO
4,EXTINTOR C.I.POLVO QUIMICO SECO ABC 6 KG,PZA,50.0,$,EXTINTOR CONTRA INCENDIO
5,EXTINTOR C.I.POLVO QUIMICO SECO ABC 9 KG,PZA,60.0,$,EXTINTOR CONTRA INCENDIO
6,EXTINTOR C.I.POLVO QUIMICO SECO ABC 12 KG,PZA,65.0,$,EXTINTOR CONTRA INCENDIO
7,EXTINTOR C.I.POLVO QUIMICO SECO ABC 25 KG RODANTE,PZA,280.0,$,EXTINTOR CONTRA INCENDIO
8,EXTINTOR C.I.POLVO QUIMICO SECO ABC 50 KG RODANTE,PZA,390.0,$,EXTINTOR CONTRA INCENDIO
9,EXTINTOR C.I .GAS CARBONICO 2 KG,PZA,130.0,$,EXTINTOR CONTRA INCENDIO
10,EXTINTOR C.I .GAS CARBONICO 5 KG,PZA,180.0,$,EXTINTOR CONTRA INCENDIO
11,EXTINTOR C.I. AGUA PRESURIZADA 2.5 GAL ACERO INOXIDABLE,PZA,110.0,$,EXTINTOR CONTRA INCENDIO
12,EXTINTOR C.I. AGUA PULVERIZADA 2.5 GAL,PZA,250.0,$,EXTINTOR CONTRA INCENDIO
13,EXTINTOR C.I. HALOTRON I 5 LB,PZA,210.0,$,EXTINTOR CONTRA INCENDIO
14,EXTINTOR C.I. HALOTRON I 11 LB,PZA,270.0,$,EXTINTOR CONTRA INCENDIO
15,EXTINTOR C.I. ESPUMA AFFF 2.5 GAL,PZA,170.0,$,EXTINTOR CONTRA INCENDIO
17,"GABINETE METALICO AGUA C/INCENDIO 80X60X18CM 1/24""",PZA,75.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
18,"GABINETE METALICO AGUA C/INCENDIO 90X80X22CM 1/16""",PZA,110.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
19,PORTAMANGUERA 30 M,PZA,24.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
20,PORTAMANGUERA CIRCULAR 30 M,PZA,49.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
21,"MANGUERA POLYESTER CON ACOPLES 1 1/2"" 30M",PZA,130.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
22,"MANGUERA C-INC.NITRILO 21/2""X30MTS.BRONCE 250 PSI. - M/5 ELEM",PZA,225.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
23,"PITÓN DE POLICARBONATO (ROJO) DE 1 ½” - 75 GPM  M/GIACOMINI, 
UL - FM",PZA,30.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
24,"PITÓN BRONCE CHORRO-NIEBLA 1.1/2""-95GPM  M/GIACOMINI  UL-FM",PZA,50.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
25,"TAPA BRONCE 2 1/2"" HEMBRA",PZA,30.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
26,"TAPA DE POLICARBONATO 2 1/2"" HEMBRA",PZA,20.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
27,"NIPLE DE ENSAMBLAJE BRONCE 1 1/2"" ROSCADO NPT - NST",PZA,29.0,$,GABINETE DE MANGUERA CONTRA INCENDIO
36,"PERNO HEXAG.ROSCA CORRIENTE G-2 1/2""X1/4""",CTO,1.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
37,"PERNO HEXAG.ROSCA CORRIENTE G-2 1/2""X5/16""",CTO,3.06,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
38,"PERNO HEXAG.ROSCA CORRIENTE G-2 1/2""X3/8""",CTO,4.45,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
39,"PERNO HEXAG.ROSCA CORRIENTE G-2 5/8""X1/4""",CTO,2.07,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
40,"PERNO HEXAG.ROSCA CORRIENTE G-2 5/8""X5/16""",CTO,3.27,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
41,"PERNO HEXAG.ROSCA CORRIENTE G-2 5/8""X3/8""",CTO,4.8,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
42,"PERNO HEXAG.ROSCA CORRIENTE G-2 3/4""X1/4""",CTO,2.17,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
43,"PERNO HEXAG.ROSCA CORRIENTE G-2 3/4""X5/16""",CTO,3.64,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
44,"PERNO HEXAG.ROSCA CORRIENTE G-2 3/4""X3/8""",CTO,5.78,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
45,"PERNO HEXAG.ROSCA CORRIENTE G-2 3/4""X7/16""",CTO,6.28,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
46,"PERNO HEXAG.ROSCA CORRIENTE G-2 3/4""X1/2""",CTO,12.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
47,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X1/4""",CTO,2.47,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
48,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X5/16""",CTO,4.27,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
49,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X3/8""",CTO,6.29,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
50,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X7/16""",CTO,7.99,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
51,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X1/2""",CTO,13.2,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
52,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X5/8""",CTO,24.1,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
53,"PERNO HEXAG.ROSCA CORRIENTE G-2 1""X3/4""",CTO,37.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
54,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X1/4""",CTO,3.13,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
55,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X5/16""",CTO,4.84,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
56,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X3/8""",CTO,7.11,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
57,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X7/16""",CTO,9.35,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
58,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X1/2""",CTO,14.54,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
59,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X5/8""",CTO,25.55,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
60,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/4""X3/4""",CTO,40.55,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
61,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X1/4""",CTO,3.57,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
62,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X5/16""",CTO,5.55,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
63,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X3/8""",CTO,8.15,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
64,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X7/16""",CTO,11.71,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
65,"PERNO HEXAG.ROSCA CORRIENTE G-2 1 1/2""X1/2""",CTO,15.91,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
66,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X9/16""",CTO,21.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
67,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X5/8""",CTO,26.17,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
68,"PERNO HEXAG.ROSCA CORRIENTE G-2 1.1/2""X3/4""",CTO,51.3,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
69,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X1/4""",CTO,4.47,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
70,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X5/16""",CTO,7.76,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
71,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X3/8""",CTO,10.35,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
72,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X7/16""",CTO,13.66,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
73,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X1/2""",CTO,21.74,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
74,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X9/16""",CTO,25.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
75,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X5/8""",CTO,33.01,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
76,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X3/4""",CTO,52.65,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
77,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X7/8""",CTO,92.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
78,"PERNO HEXAG.ROSCA CORRIENTE G-2 2""X1""",CTO,115.3,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
79,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X1/4""",CTO,5.19,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
80,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X5/16""",CTO,8.42,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
81,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X3/8""",CTO,13.26,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
82,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X7/16""",CTO,17.4,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
83,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X1/2""",CTO,23.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
84,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X9/16""",CTO,30.75,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
85,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X5/8""",CTO,40.05,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
86,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X3/4""",CTO,60.75,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
87,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X7/8""",CTO,106.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
88,"PERNO HEXAG.ROSCA CORRIENTE G-2 2.1/2""X1""",CTO,131.4,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
89,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X1/4""",CTO,6.72,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
90,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X5/16""",CTO,10.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
91,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X3/8""",CTO,15.01,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
92,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X7/16""",CTO,20.69,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
93,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X1/2""",CTO,28.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
94,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X9/16""",CTO,38.15,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
95,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X5/8""",CTO,46.35,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
96,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X3/4""",CTO,72.55,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
97,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X7/8""",CTO,118.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
98,"PERNO HEXAG.ROSCA CORRIENTE G-2 3""X1""",CTO,144.7,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
99,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X1/4""",CTO,7.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
100,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X5/16""",CTO,11.91,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
101,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X3/8""",CTO,16.75,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
102,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X7/16""",CTO,23.6,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
103,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X1/2""",CTO,32.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
104,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X9/16""",CTO,41.65,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
105,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X5/8""",CTO,49.43,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
106,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X3/4""",CTO,74.6,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
107,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X7/8""",CTO,163.2,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
108,"PERNO HEXAG.ROSCA CORRIENTE G-2 3.1/2""X1""",CTO,177.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
109,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X1/4""",CTO,8.99,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
110,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X5/16""",CTO,13.81,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
111,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X3/8""",CTO,19.95,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
112,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X7/16""",CTO,27.12,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
113,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X1/2""",CTO,37.4,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
114,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X9/16""",CTO,49.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
115,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X5/8""",CTO,57.02,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
116,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X3/4""",CTO,87.95,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
117,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X7/8""",CTO,165.2,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
118,"PERNO HEXAG.ROSCA CORRIENTE G-2 4""X1""",CTO,209.2,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
119,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X1/4""",CTO,9.84,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
120,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X5/16""",CTO,16.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
121,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X3/8""",CTO,20.64,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
122,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X7/16""",CTO,29.25,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
123,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X1/2""",CTO,42.72,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
124,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X9/16""",CTO,54.6,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
125,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X5/8""",CTO,61.6,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
126,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X3/4""",CTO,96.4,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
127,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X7/8""",CTO,174.1,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
128,"PERNO HEXAG.ROSCA CORRIENTE G-2 4.1/2""X1""",CTO,211.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
129,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X1/4""",CTO,11.4,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
130,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X5/16""",CTO,17.57,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
131,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X3/8""",CTO,24.31,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
132,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X7/16""",CTO,33.35,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
133,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X1/2""",CTO,50.16,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
134,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X9/16""",CTO,58.05,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
135,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X5/8""",CTO,73.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
136,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X3/4""",CTO,102.59,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
137,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X7/8""",CTO,178.02,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
138,"PERNO HEXAG.ROSCA CORRIENTE G-2 5""X1""",CTO,230.4,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
139,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X5/16""",CTO,20.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
140,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X3/8""",CTO,27.76,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
141,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X7/16""",CTO,35.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
142,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X1/2""",CTO,52.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
143,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X9/16""",CTO,62.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
144,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X5/8""",CTO,73.3,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
145,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X3/4""",CTO,119.22,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
146,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X7/8""",CTO,180.0,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
147,"PERNO HEXAG.ROSCA CORRIENTE G-2 5.1/2""X1""",CTO,232.5,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
148,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X5/16""",CTO,20.81,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
149,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X3/8""",CTO,29.15,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
150,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X7/16""",CTO,39.65,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
151,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X1/2""",CTO,58.81,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
152,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X9/16""",CTO,65.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
153,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X5/8""",CTO,78.9,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
154,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X3/4""",CTO,129.2,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
155,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X7/8""",CTO,216.8,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
156,"PLACA COLABORANTE ACERO-DECK AD 600 / E=1.20 MM A=0.90 M 
CALIBRE 18",M2,37.78,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
157,"PLACA COLABORANTE ACERO-DECK AD 730 / E=0.76 MM A=0.90 M 
CALIBRE 22",M2,22.22,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
158,"PLACA COLABORANTE ACERO-DECK AD 730 / E=0.90 MM A=0.90 M 
CALIBRE 20",M2,26.67,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
159,"PLACA COLABORANTE ACERO-DECK AD 730 / E=1.20 MM A=0.90 M 
CALIBRE 18",M2,38.78,$,PERNO HEXAGONAL ROSCA CORRIENTE GRADO 2 ZINCADO
168,"TOPE DE BORDE ACERO-DECK 2.50 MTS, CALIBRE 20 / TB-90/170, 
100/170, 110/170",PZA,17.76,$,TOPES DE BORDE
169,"TOPE DE BORDE ACERO-DECK 2.50 MTS, CALIBRE 20 / TB-120/200, 
130/200, 140/200",PZA,20.76,$,TOPES DE BORDE
170,"TOPE DE BORDE ACERO-DECK 2.50 MTS, CALIBRE 20 / TB-150/240, 
160/240, 170/240, 180/240",PZA,24.61,$,TOPES DE BORDE
171,"TOPE DE BORDE ACERO-DECK 2.50 MTS, CALIBRE 20 / TB-190/300, 
200/300",PZA,31.35,$,TOPES DE BORDE
181,"PERNO HEXAG.ROSCA CORRIENTE G-2 6""X1""",CTO,271.38,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
182,"PERNO HEXAG.ROSCA CORRIENTE G-2 7""X3/8""",CTO,35.45,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
183,"PERNO HEXAG.ROSCA CORRIENTE G-2 7""X1/2""",CTO,68.9,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
184,"PERNO HEXAG.ROSCA CORRIENTE G-2 7""X5/8""",CTO,96.85,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
185,"PERNO HEXAG.ROSCA CORRIENTE G-2 7""X3/4""",CTO,146.0,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
186,"PERNO HEXAG.ROSCA CORRIENTE G-2 7""X7/8""",CTO,247.85,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
187,"PERNO HEXAG.ROSCA CORRIENTE G-2 7""X1""",CTO,295.6,$,"Precios referencial, basado en la cantidad de m2. La placa colaborante Acero Deck se fabrica a la medida requerida por 
el cliente, la cantidad mínima de conectores de corte es de 100 pza."
189,"ARANDELA ACERO GALVANIZADO 1/8""",CTO,0.26,$,ARANDELA PLANA DE FE
190,"ARANDELA ACERO GALVANIZADO 5/32""",PZA,0.34,$,ARANDELA PLANA DE FE
191,"ARANDELA ACERO GALVANIZADO 3/16""",PZA,0.55,$,ARANDELA PLANA DE FE
192,"ARANDELA ACERO GALVANIZADO 1/4""",CTO,2.03,$,ARANDELA PLANA DE FE
